 nuclide       A          Z          N      
1H                   1          1          0
3He                  3          2          1
2H                   2          1          1
4He                  4          2          2
6Li                  6          3          3
7Li                  7          3          4
10B                 10          5          5
9Be                  9          4          5
12C                 12          6          6
11B                 11          5          6
14N                 14          7          7
13C                 13          6          7
16O                 16          8          8
15N                 15          7          8
17O                 17          8          9
20Ne                20         10         10
19F                 19          9         10
18O                 18          8         10
21Ne                21         10         11
24Mg                24         12         12
23Na                23         11         12
22Ne                22         10         12
25Mg                25         12         13
28Si                28         14         14
27Al                27         13         14
26Mg                26         12         14
29Si                29         14         15
30Si                30         14         16
32S                 32         16         16
31P                 31         15         16
33S                 33         16         17
34S                 34         16         18
35Cl                35         17         18
38Ar                38         18         20
39K                 39         19         20
37Cl                37         17         20
36S                 36         16         20
42Ca                42         20         22
40Ar                40         18         22
41K                 41         19         22
43Ca                43         20         23
46Ti                46         22         24
44Ca                44         20         24
45Sc                45         21         24
47Ti                47         22         25
48Ti                48         22         26
49Ti                49         22         27
52Cr                52         24         28
50Ti                50         22         28
51V                 51         23         28
53Cr                53         24         29
56Fe                56         26         30
54Cr                54         24         30
55Mn                55         25         30
57Fe                57         26         31
60Ni                60         28         32
58Fe                58         26         32
59Co                59         27         32
61Ni                61         28         33
62Ni                62         28         34
63Cu                63         29         34
64Ni                64         28         36
66Zn                66         30         36
65Cu                65         29         36
67Zn                67         30         37
68Zn                68         30         38
70Ge                70         32         38
69Ga                69         31         38
72Ge                72         32         40
71Ga                71         31         40
73Ge                73         32         41
74Ge                74         32         42
76Se                76         34         42
75As                75         33         42
77Se                77         34         43
78Se                78         34         44
80Kr                80         36         44
79Br                79         35         44
82Kr                82         36         46
81Br                81         35         46
83Kr                83         36         47
86Sr                86         38         48
84Kr                84         36         48
85Rb                85         37         48
87Sr                87         38         49
88Sr                88         38         50
90Zr                90         40         50
89Y                 89         39         50
91Zr                91         40         51
92Zr                92         40         52
